pdf contribution,dr,Ephi,tres,eX,eY,eZ,eT,eZenith,eAzimuth
2.92755, 42.9131, 1.38553, 17.3022, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.92703, 42.9131, 1.38553, 17.3804, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.92435, 42.9131, 1.38553, 17.5777, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.91873, 42.9131, 1.38553, 17.8231, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.91824, 42.9131, 1.38553, 17.8443, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.9267, 42.9131, 1.38553, 18.4605, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.94192, 42.9131, 1.38553, 18.7358, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.94855, 42.9131, 1.38553, 18.9223, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.94981, 42.9131, 1.38553, 19.1038, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.944, 42.9131, 1.38553, 19.4017, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.94163, 42.9131, 1.38553, 19.528, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.9415, 42.9131, 1.38553, 19.538, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.94116, 42.9131, 1.38553, 19.5718, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.99815, 42.9131, 1.38553, 20.5413, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.0089, 42.9131, 1.38553, 20.6443, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.02167, 42.9131, 1.38553, 20.7638, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.03701, 42.9131, 1.38553, 20.905, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.04043, 42.9131, 1.38553, 20.9364, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.05188, 42.9131, 1.38553, 21.041, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.06694, 42.9131, 1.38553, 21.1776, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.11586, 42.9131, 1.38553, 21.6165, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.19906, 42.9131, 1.38553, 22.3466, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.22045, 42.9131, 1.38553, 22.5314, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.37053, 42.9131, 1.38553, 23.8021, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.40252, 42.9131, 1.38553, 24.0681, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.41925, 42.9131, 1.38553, 24.2067, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.47161, 42.9131, 1.38553, 24.6382, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.49599, 42.9131, 1.38553, 24.8381, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.56739, 42.9131, 1.38553, 25.4205, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.64775, 42.9131, 1.38553, 26.0718, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.71047, 42.9131, 1.38553, 26.5779, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.72009, 42.9131, 1.38553, 26.6554, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.72182, 42.9131, 1.38553, 26.6694, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.79165, 42.9131, 1.38553, 27.2316, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.10978, 42.9131, 1.38553, 29.8037, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.13541, 42.9131, 1.38553, 30.0133, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.14375, 42.9131, 1.38553, 30.0817, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.20907, 42.9131, 1.38553, 30.6189, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.29237, 42.9131, 1.38553, 31.3107, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.81539, 42.9131, 1.38553, 35.9374, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.03281, 42.9131, 1.38553, 38.1001, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.30624, 42.9131, 1.38553, 41.1858, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.51106, 42.9131, 1.38553, 43.9411, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.81469, 42.9131, 1.38553, 49.5631, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
